ToolID,OnHand,Purchased,Brand,Description,PartNumber,Supplier,Notes,Location
T6,2,?,HCB,Bush removal/Install Tool,H.C.B-A1070,All Euro,bmw SUSPENSION e34 e38 e39 e52 e53 e60 e61 e63 e66 e65 e67 e70 Rear Carrier Bush / Ball Joint Tool,B5
T60,1,?,AST,Engine Timing Tool Set,AST5145,T&E Tools,TIMING 1.0 1.2 1.4 tfsi Engine Setting / Locking Kit belt cambelt  tsi HZA CHZB CHZC CHZD CHZE CHZF CHZG CHZJ CHZK CHZL DKJA DKLA DKLB DKLC DKLD DKRA DKRB DKRC DKRD DKRE DKRF 1.2 CJZA CJZB CJZC CJZD CYVA CYVB CYVC CYVD 1.4 CHPA CHPB CMBA CPTA CPVA CPVB CPWA CRJA CUKB CUKC CVNA CXSA CXSB CZCA CZCB CZCC CZDA CZDB CZDD CZEA DGEA DGEB DJKA DJKD DJVA T10494 T10264 T10340 T10499 T10476 T10477 T10494 T10504 T10504/1 T10504/2,C5
T61,1,?,JTC,Diesel Engine Timing Tool - VW,JTC-4931,All Euro,ENGINE vw timing BAC BLK BPD AXD AXE BLJ BPC and AYH vw audi VW T5 Touareg and Transporter 2.5 TDI PD and,D5
T62,1,?,,Airbag Removal Tool Set,,,AIRBAG uni universial remove,C3
T63,1,?,Endeavour,Rear Main Seal Installer,ET1514A,All Euro,ENGINE oil install  EA111 EA211 petrol VAG 1.6 1.9 2.0 TDI vw audi,B4
T64,1,?,HCB,Cam Alignment Tool,HCB-A1164,All Euro,ENGINE 1.4 16v  Twin Camshaft Alignment Tool vw audi skoda,B2
T65,1,?,Endeavour,Injector Chamber Seal Tool,ET0017A,All Euro,ENGINE injector puller kit cleaner cleaning vw audi fuel seat plastic shaft fitting,C5
T66,1,?,Endeavour,VAG Brake Servo Release Kit,ET0704,All Euro,BRAKES vw audi skoda t10189,A5
T76,1,?,Weller,Soldering Iron,8100D,?,solder heat,C4
T8,1,?,HCB,Valve Spring Tool - Univeral,E1376B,All Euro,Valvetronic Tool - Intermediate Lever Spring Tool ASSENMACHER TOOLS ENGINE N52 N55 BMW,D3
T81,1,?,Endeavour,Press Bearing Bush Removal Kit,ET3976,All Euro,press tool sleave Universal,By Press
T9,1,?,Endeavour,Valve Stem Seal Kit,ET0095,All Euro,ENGINE n62 n62tu bmw removal remover install,D1
GreaseTools,2,?,?,Grease Gun (one blue, one red),GreaseGun,?,nipple,A4
T600,1,?,?,Random Puller Asortments,?,?,,E3
T124,1,,HCB,Injector Remover,H.C.B-C1357,All Euro,N47 N57 Master kit VW Audi BMW,D4
T125,1,,Eneavour,Damaged Glow Plug Removal Set,ET1422,All Euro,BMW Audi VW Vag Mini Broken extract,B5
T23,1,,De Walt,Drill Cable type (Yellow),,,power,A5
T24,1,15/12/23,Endeavour,VAG Timing Kit,ET2276C,All Euro,CKFB, CKFC, CLHA, CLHB, CNHA, CNHC, CRBC, CRBD, CRFA, CRKA, CRKB, CRLB, CRLC, CRMB, CRUA, CRVA, CRVC, CSUA, CSUB, CSUD, CSUE, CUAA, CUNA, CUPA, CUSA, CUSB, CUTA, CUUA, CUUB, CUVA, CUVC, CUVD, CUWA, CXMA, CXXA, CXXB, CYKA, CZDA, CZJA, DBKA, DCXA, DDAA, DEUA, DEUB, DFLA, DFLD, DFMA, DFSA, DFSB, DETA,,D5
T25,1,,Autel,Scanner,Autel,Repco,,Cupboard
T601,1,18/03/24,VDO,Mechanical Boost Guage,150077011,Repco,Gauge, Boost,A4
T602,1,22/03/24,PROTECH,Bore Inspection Camera,QC8718,JayCar,Camera,A4
T603,1,08/04/24,ToolPro,Removal Tool Set 5pcs,PLU543412,Supercheap Auto,Ball joint, remover, removal, puller,C5
T91,1,08/05/2023,BMW,icom tool,81315A78EF6,Coombes,i-com BMW icom diag diagnostic tool,Trolly
T604,1,24/05/24,Toledo,Exhaust Cutter,312295,Repco,Exhaust Cutter, Tail pipe, metal cutter,A5
T605,1,31/05/24,Jonnesway,Fuel/ AC disconnector,AR060015,BNT,Fuel line, AC, clip remove,A4
T26,1,17/06/24,Endeavour,VAG Crankshaft Rotation Socket (Pulley End),ET1425A,All Euro,Pin Applications: 2.4L | 3.2L FSI, 6 Cyl | 8 Cyl TDI 22mm square | 12mm rotating pivot pin  1/2" Sq Drv OEM Equiv: T40058 A specialised socket for turning the crankshaft pulley on Audi A4 | A6 | A8 | Q7 vehicles. Includes centring,Top Draw
T27,1,01/04/24,China,Transmission Dip Stick,140589152100,All Euro,Mercedes 722.6 722.6 automatic transmissions / 5 speed transmissions that come in most Mercedes models 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 W163 W203 W208 W210 C230, E430, S55, SL320, SL500, SL55, S320, S420, S430, S500, ML320, ML430, ML500,A6
T35,1,20/07/2024,Launch,Launch X-PROG 3 immobilizer programming tool,1012014,Launch,Launch X-PROG 3, immobilizer, programming, tool, anti-theft, professional, repair, vehicle, maintenance, EEPROM, read, write, keys, MCU, BMW, engine, ISN code, Mercedes-Benz, infrared key, BENCH mode, CAS4+, FEM chips, key simulator, Audi, steering column, VW, Dump Mode, OBD MED17, Boot mode, UDS, MQB, gearbox, enumeration, data, internet signal.,UpstairsOffice
T36,1,20/07/2024,Launch,AUNCH X431 PAD V Elite ECU Online Programming & Coding Scan Tool,LAUNCH X431 PAD,Launch,Launch X431, PAD V Elite, ECU Online Programming, Coding Scan Tool, Full System Diagnostic Scanner, Topology Map, Reset Functions, Android 7.1, Dual Wi-Fi, IP65 Case, Bidirectional Control, J2534 Programming, AutoAuth, FCA SGW, VAG Guided Functions, D-PDU, DoIP, RP1210, CANFD, ADAS Calibration, Automotive Diagnostic, Smartlink C, Heavy Duty Truck Software, Inspection Camera, Bluetooth Battery Tester, WiFi Printer, PAD V Elite Diagnostic Scanner, PAD V Elite ECU Programming, PAD V Elite Coding, PAD V Elite Reset, PAD V Elite Bi-Directional Control, PAD V Elite OE-Level, PAD V Elite OBD2.,Upstairs
T606,1,07/08/24,Repco,18PC Drain Plug Key Set,RST258,Repco,Drain plug, square plug, sump plug,B2
T178,1,19/08/24,ToolPRO,Brake Piston Push Back Tool,392417,Super Cheap,BRAKES caliper push back ToolPRO Brake Piston Wind Back Tool Kit 18 Piece,E4
T99,1,22/10/24,Endeavour,DSG Trans Leaver 7 Speed,ET1552C,All Euro,Mech mechatronic DSG lever leaver T10407 gear clutch tool stick measure depth holder,Big Red Toolbox Top Draw
T28,1,12/12/2024,TEE Kay,Tee-Kay Head Check,HEADCHEK,Repco,tk cylinder gasket tester test,A4
T37,0,,Endeavour,VAG Timing Kit,ET1084,All Euro,2.0L FSi | TFSi DA0379-23: VAG 3366, VAG T20018, VAG T20044 ET1020A: BMW 11 2 300, Holden KM 813, Land Rover LRT 12-108 ET1084-1: VAG T10092 ET1084-3: VAG T10252 ET1220B: VAG T10020 ET2207-3: VAG T10060/A, VAG T40098, VAG T20167, VAG 3204 TT4001: VAG T40011 AXW | AXX | BGB | BHZ | BLR | BLX | BLY | BMB | BPJ  BUL | BVY | BWA | BWE | BYD | BZC | CDLB | CDLC | CDLG,Ebbett VW
T38,0,,Endeavour,BMW B38 | B48 | B58 Timing Kit,ET1704D,All Euro,Hire OEM Equiv: 2 358 122 | 2 288 380 | 2 365 488 timing tool kit for locking camshaft / crankshafts and setting the crankshaft at TDC ET1136-5  TT0895  TT5488 TT8123 TT8380 BMW Rigid Chain Tensioner BMW B38 | B48 Actuator Remover A/T Drive Plate Timing Pin Adaptor Camshaft Alignment Tool Flywheel Drive Plate Timing Pin 119340  2360895 2365488 2358122 2288380,N/A
